"B04-coarse-ITS_Rhizome"	"B04-soil-ITS-B_Bulk soil"	"B04-rhizo-ITS_Rhizosphere"	"B11-coarse-ITS_redo_Rhizome"	"B11-soil-ITS_Bulk soil"	"B11-rhizo-ITS_Rhizosphere"	"B02-rhizo-ITS_Rhizome"	"B02-soil-ITS_Bulk soil"	"B02-coarse-ITS_Rhizosphere"	"B03-soil-ITS_Rhizome"	"B03-coarse-ITS_Bulk soil"	"B03-rhizo-ITS_Rhizosphere"	"B07-coarse-ITS_Rhizome"	"B07-soil-ITS_Bulk soil"	"B07-rhizo-ITS_Rhizosphere"	"B08-soil-ITS_Rhizome"	"B08-rhizo-ITS_Bulk soil"	"B08-coarse-ITS_Rhizosphere"	"B09-soil-ITS_Rhizome"	"B09-coarse-ITS_Bulk soil"	"B09-rhizo-ITS_Rhizosphere"	"B10-soil-ITS_Rhizome"	"B10-coarse-ITS_Bulk soil"	"B10-rhizo-ITS_Rhizosphere"	"B14-soil-ITS_Rhizome"	"B14-coarse-ITS_Bulk soil"	"B14-rhizo-ITS_Rhizosphere"	"B15-coarse-ITS_redo_Rhizome"	"B15-rhizo-ITS_Bulk soil"	"B15-soil-ITS_Rhizosphere"	"B16-soil-ITS_Rhizome"	"B16-coarse-ITS_Bulk soil"	"B16-rhizo-ITS_Rhizosphere"	"U03-soil-ITS_Rhizome"	"U03-coarse-ITS_Bulk soil"	"U03-rhizo-ITS_Rhizosphere"	"U06-soil-ITS_Rhizome"	"U06-rhizo-ITS_Bulk soil"	"U06-coarse-ITS_Rhizosphere"	"U07-soil-ITS_Rhizome"	"U07-rhizo-ITS_Bulk soil"	"U07-coarse-ITS_Rhizosphere"	"U08-rhizo-ITS_Rhizome"	"U08-soil-ITS_Bulk soil"	"U08-coarse-ITS_Rhizosphere"	"B01-soil-ITS_Rhizome"	"B01-coarse-ITS_Bulk soil"	"B01-rhizo-ITS_Rhizosphere"	"B05-coarse-ITS_Rhizome"	"B05-soil-ITS_Bulk soil"	"B05-rhizo-ITS_Rhizosphere"	"B06-coarse-ITS_Rhizome"	"B06-soil-ITS_Bulk soil"	"B06-rhizo-ITS_Rhizosphere"	"B12-coarse-ITS_Rhizome"	"B12-soil-ITS_Bulk soil"	"B12-rhizo-ITS_Rhizosphere"	"B13-soil-ITS_Rhizome"	"B13-rhizo-ITS_Bulk soil"	"B13-coarse-ITS_redo_Rhizosphere"	"B17-soil-ITS_Rhizome"	"B17-coarse-ITS_Bulk soil"	"B17-rhizo-ITS_Rhizosphere"	"B18-coarse-ITS-D_Rhizome"	"B18-soil-ITS_Bulk soil"	"B18-rhizo-ITS_Rhizosphere"	"U01-coarse-ITS_Rhizome"	"U01-soil-ITS_Bulk soil"	"U01-rhizo-ITS_Rhizosphere"	"U02-soil-ITS_Rhizome"	"U02-coarse-ITS_Bulk soil"	"U02-rhizo-ITS_Rhizosphere"	"U04-coarse-ITS_Rhizome"	"U04-rhizo-ITS_Bulk soil"	"U04-soil-ITS_Rhizosphere"	"U05-rhizo-ITS_Rhizome"	"U05-coarse-ITS_Bulk soil"	"U05-soil-ITS_Rhizosphere"	"U09-rhizo-ITS_Rhizome"	"U09-soil-ITS_Bulk soil"	"U09-coarse-ITS_Rhizosphere"	"Unknown"
"B-unk-stem-ITS_redo_Stem"	0	0.0120800382907852	0.0717927115767956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.916127250132419
"B-unk-stem2-ITS_redo_Fine root"	NA	NA	NA	9.36889114138415e-11	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.999999999906311
"B02-stem-ITS_redo_Leaf"	NA	NA	NA	NA	NA	NA	0.0985899113372858	0.101410088662714	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
"B03-stem-ITS_redo_Stem"	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.20456542391844e-12	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.999999999990795
"B07-fine-ITS_redo_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.0040643169289001	0.06984546881574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92609021425536
"B08-stem-ITS_redo_Leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.30601688485112e-09	3.13008776134044e-06	3.0919391397248e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.999996864605913
"B09-stem-ITS_redo_Stem"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0314085760560463	0	2.21187742046428e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.968591401825179
"B10-stem-ITS_redo_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277774319334942	0	0.148064320705329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.824158247361177
"B14-stem-ITS_redo_Leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	8.56699526628777e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.999991433004734
"B15-stem-ITS_redo_Stem"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.164634239197954	0.00305544781238594	0.0384387838328205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.793871529156839
"B16-stem-ITS_redo_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.15035133323231e-12	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.99999999999885
"U03-stem-ITS_redo_Leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.51119881167114e-07	0.0081383018075172	0.474700616985048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.517160930087553
"U06-stem-ITS_redo_Stem"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0289361677532015	0.00449307401406094	0.0170895801600426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.949481178072695
"U07-stem-ITS_redo_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.34561516001462e-10	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.999999999765439
"U08-stem-ITS_redo_Leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.497471937534881	6.02669660547875e-15	9.76336358459546e-63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.502528062465113
"B02-leaves-ITS-D_Stem"	NA	NA	NA	NA	NA	NA	0.00654604735347823	0.00563003139829659	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.987823921248225
"B01-fine-ITS_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0196189345359458	0	0.00488069705731855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.975500368406736
