"B01-coarse-16S_Rhizome"	"B01-rhizo-16s_Rhizosphere"	"B01-soil-16s_Bulk soil"	"B03-rhizo-16s_Rhizome"	"B03-soil-16s_Rhizosphere"	"B03-coarse-16S_Bulk soil"	"B07-rhizo-16s_Rhizome"	"B07-soil-16s_Rhizosphere"	"B07-coarse-16S_Bulk soil"	"B09-soil-16s_Rhizome"	"B09-rhizo-16s_Rhizosphere"	"B09-coarse-16S_Bulk soil"	"B10-rhizo-16s_Rhizome"	"B10-coarse-16S_Rhizosphere"	"B10-soil-16s_Bulk soil"	"B11-coarse-16S_Rhizome"	"B11-soil-16s_Rhizosphere"	"B11-rhizo-16s_Bulk soil"	"B12-rhizo-16s_Rhizome"	"B12-coarse-16S_Rhizosphere"	"B12-soil-16s_Bulk soil"	"B13-coarse-16S_Rhizome"	"B13-soil-16s_Rhizosphere"	"B13-rhizo-16s_Bulk soil"	"B14-soil-16s_Rhizome"	"B14-coarse-16S_Rhizosphere"	"B14-rhizo-16s_Bulk soil"	"B15-rhizo-16s_Rhizome"	"B15-soil-16s_Rhizosphere"	"B15-coarse-16S_Bulk soil"	"B16-soil-16s_Rhizome"	"B16-rhizo-16s_Rhizosphere"	"B16-coarse-16S_Bulk soil"	"B17-coarse-16S_Rhizome"	"B17-rhizo-16s_Rhizosphere"	"B17-soil-16s_Bulk soil"	"B18-soil-16s_Rhizome"	"B18-rhizo-16s_Rhizosphere"	"B18-coarse-16S_Bulk soil"	"U01-coarse-16S_Rhizome"	"U01-rhizo-16s_Rhizosphere"	"U01-soil-16s_Bulk soil"	"U02-soil-16s_Rhizome"	"U02-rhizo-16s_Rhizosphere"	"U02-coarse-16S_Bulk soil"	"U03-soil-16s_Rhizome"	"U03-rhizo-16s_Rhizosphere"	"U03-coarse-16S_Bulk soil"	"U04-soil-16s_Rhizome"	"U04-rhizo-16s_Rhizosphere"	"U04-coarse-16S_Bulk soil"	"U05-rhizo-16s_Rhizome"	"U05-soil-16s_redo_Rhizosphere"	"U05-coarse-16S_Bulk soil"	"U06-coarse-16S_Rhizome"	"U06-rhizo-16s_Rhizosphere"	"U06-soil-16s_Bulk soil"	"U07-soil-16s_Rhizome"	"U07-coarse-16S_Rhizosphere"	"U07-rhizo-16s_Bulk soil"	"U08-rhizo-16s_Rhizome"	"U08-coarse-16S_Rhizosphere"	"U08-soil-16s_Bulk soil"	"B04-coarse-16S_Rhizome"	"B04-soil-16s_Rhizosphere"	"B04-rhizo-16s_Bulk soil"	"U09-soil-16s_Rhizome"	"U09-coarse-16S-C_Rhizosphere"	"U09-rhizo-16s_Bulk soil"	"Unknown"
"B01-fine-16s_Fine root"	0.0348731789411692	0.109569162382121	0.0235171989036698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.83204045977304
"B03-fine-16s_Stem"	NA	NA	NA	0.0293850874679772	0.0232105314617926	0.0924096069255749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.854994774144655
"B07-fine-16s_Leaf"	NA	NA	NA	NA	NA	NA	0.0139428525076973	0.0218542739266315	0.0489746838577573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.915228189707914
"B09-fine-16s_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.01553013846649e-06	0.00449310360181784	0.00412654840969647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.991379332458347
"B10-fine-16s_Stem"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0194852859541386	0.0140698158132842	0.0187787170530451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.947666181179532
"B11-fine-16s_Leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0932188852835403	0.00668146838486378	0.00753391598278725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.892565730348809
"B12-fine-16s_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0411031859961488	0.00452236446847357	0.00658312223109893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.947791327304279
"B13-fine-16s_Stem"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0129000322341807	0.0646110804318498	0.0574598140671987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.865029073266771
"B14-fine-16s_Leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0664766966554716	0.0703041923399807	0.0867560179116989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.776463093092849
"B15-fine-16s_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0653190036826835	0.0242572969083121	0.0257484791118064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.884675220297198
