SampleID	Env	SourceSink	id
B04-coarse-ITS	Rhizome	Source	1
B04-soil-ITS-B	Bulk soil	Source	1
B04-rhizo-ITS	Rhizosphere	Source	1
B-unk-stem-ITS_redo	Stem	Sink	1
B11-coarse-ITS_redo	Rhizome	Source	2
B11-soil-ITS	Bulk soil	Source	2
B11-rhizo-ITS	Rhizosphere	Source	2
B-unk-stem2-ITS_redo	Stem	Sink	2
B02-rhizo-ITS	Rhizosphere	Source	3
B02-soil-ITS	Bulk soil	Source	3
B02-coarse-ITS	Rhizome	Source	3
B02-stem-ITS_redo	Stem	Sink	3
B03-soil-ITS	Bulk soil	Source	4
B03-coarse-ITS	Rhizome	Source	4
B03-rhizo-ITS	Rhizosphere	Source	4
B03-stem-ITS_redo	Stem	Sink	4
B07-coarse-ITS	Rhizome	Source	5
B07-soil-ITS	Bulk soil	Source	5
B07-rhizo-ITS	Rhizosphere	Source	5
B07-fine-ITS_redo	Fine root	Sink	5
B08-soil-ITS	Bulk soil	Source	6
B08-rhizo-ITS	Rhizosphere	Source	6
B08-coarse-ITS	Rhizome	Source	6
B08-stem-ITS_redo	Stem	Sink	6
B09-soil-ITS	Bulk soil	Source	7
B09-coarse-ITS	Rhizome	Source	7
B09-rhizo-ITS	Rhizosphere	Source	7
B09-stem-ITS_redo	Stem	Sink	7
B10-soil-ITS	Bulk soil	Source	8
B10-coarse-ITS	Rhizome	Source	8
B10-rhizo-ITS	Rhizosphere	Source	8
B10-stem-ITS_redo	Stem	Sink	8
B14-soil-ITS	Bulk soil	Source	9
B14-coarse-ITS	Rhizome	Source	9
B14-rhizo-ITS	Rhizosphere	Source	9
B14-stem-ITS_redo	Stem	Sink	9
B15-coarse-ITS_redo	Rhizome	Source	10
B15-rhizo-ITS	Rhizosphere	Source	10
B15-soil-ITS	Bulk soil	Source	10
B15-stem-ITS_redo	Stem	Sink	10
B16-soil-ITS	Bulk soil	Source	11
B16-coarse-ITS	Rhizome	Source	11
B16-rhizo-ITS	Rhizosphere	Source	11
B16-stem-ITS_redo	Stem	Sink	11
U03-soil-ITS	Bulk soil	Source	12
U03-coarse-ITS	Rhizome	Source	12
U03-rhizo-ITS	Rhizosphere	Source	12
U03-stem-ITS_redo	Stem	Sink	12
U06-soil-ITS	Bulk soil	Source	13
U06-rhizo-ITS	Rhizosphere	Source	13
U06-coarse-ITS	Rhizome	Source	13
U06-stem-ITS_redo	Stem	Sink	13
U07-soil-ITS	Bulk soil	Source	14
U07-rhizo-ITS	Rhizosphere	Source	14
U07-coarse-ITS	Rhizome	Source	14
U07-stem-ITS_redo	Stem	Sink	14
U08-rhizo-ITS	Rhizosphere	Source	15
U08-soil-ITS	Bulk soil	Source	15
U08-coarse-ITS	Rhizome	Source	15
U08-stem-ITS_redo	Stem	Sink	15
B02-rhizo-ITS	Rhizosphere	Source	16
B02-soil-ITS	Bulk soil	Source	16
B02-coarse-ITS	Rhizome	Source	16
B02-leaves-ITS-D	Leaf	Sink	16
B01-soil-ITS	Bulk soil	Source	17
B01-coarse-ITS	Rhizome	Source	17
B01-rhizo-ITS	Rhizosphere	Source	17
B01-fine-ITS	Fine root	Sink	17
B02-rhizo-ITS	Rhizosphere	Source	18
B02-soil-ITS	Bulk soil	Source	18
B02-coarse-ITS	Rhizome	Source	18
B02-fine-ITS	Fine root	Sink	18
B03-soil-ITS	Bulk soil	Source	19
B03-coarse-ITS	Rhizome	Source	19
B03-rhizo-ITS	Rhizosphere	Source	19
B03-fine-ITS	Fine root	Sink	19
B05-coarse-ITS	Rhizome	Source	20
B05-soil-ITS	Bulk soil	Source	20
B05-rhizo-ITS	Rhizosphere	Source	20
B05-fine-ITS	Fine root	Sink	20
B06-coarse-ITS	Rhizome	Source	21
B06-soil-ITS	Bulk soil	Source	21
B06-rhizo-ITS	Rhizosphere	Source	21
B06-fine-ITS	Fine root	Sink	21
B08-soil-ITS	Bulk soil	Source	22
B08-rhizo-ITS	Rhizosphere	Source	22
B08-coarse-ITS	Rhizome	Source	22
B08-fine-ITS-2	Fine root	Sink	22
B09-soil-ITS	Bulk soil	Source	23
B09-coarse-ITS	Rhizome	Source	23
B09-rhizo-ITS	Rhizosphere	Source	23
B09-fine-ITS	Fine root	Sink	23
B10-soil-ITS	Bulk soil	Source	24
B10-coarse-ITS	Rhizome	Source	24
B10-rhizo-ITS	Rhizosphere	Source	24
B10-fine-ITS	Fine root	Sink	24
B11-coarse-ITS_redo	Rhizome	Source	25
B11-soil-ITS	Bulk soil	Source	25
B11-rhizo-ITS	Rhizosphere	Source	25
B11-fine-ITS	Fine root	Sink	25
B12-coarse-ITS	Rhizome	Source	26
B12-soil-ITS	Bulk soil	Source	26
B12-rhizo-ITS	Rhizosphere	Source	26
B12-fine-ITS	Fine root	Sink	26
B13-soil-ITS	Bulk soil	Source	27
B13-rhizo-ITS	Rhizosphere	Source	27
B13-coarse-ITS_redo	Rhizome	Source	27
B13-fine-ITS	Fine root	Sink	27
B14-soil-ITS	Bulk soil	Source	28
B14-coarse-ITS	Rhizome	Source	28
B14-rhizo-ITS	Rhizosphere	Source	28
B14-fine-ITS	Fine root	Sink	28
B15-coarse-ITS_redo	Rhizome	Source	29
B15-rhizo-ITS	Rhizosphere	Source	29
B15-soil-ITS	Bulk soil	Source	29
