description,name,X,Y,long,lat
Unburn,Unburn 6,407539,4254387,-112.059364,38.432969
Unburn,Unburn 5,407606,4254390,-112.058596,38.433003
Unburn,Unburn 4,407591,4254404,-112.05877,38.433128
Unburn,Unburn 7,407552,4254407,-112.059217,38.433151
Unburn,Unburn 3,407572,4254427,-112.058991,38.433333
Unburn,Unburn 2,407556,4254444,-112.059176,38.433485
Unburn,Unburn 1,407536,4254462,-112.059408,38.433645
Unburn,Unburn 9,407609,4254463,-112.058572,38.433661
High Burn,Burn 7,406309,4254771,-112.073505,38.436301
High Burn,Burn 1,406345,4254779,-112.073094,38.436377
High Burn,Burn 2,406331,4254791,-112.073256,38.436484
High Burn,Burn 3,406304,4254800,-112.073566,38.436562
High Burn,Burn 4,406287,4254807,-112.073762,38.436623
High Burn,Burn 5,406260,4254816,-112.074072,38.436701
High Burn,Burn 8,406311,4254823,-112.073489,38.43677
High Burn,Burn 8,406311,4254824,-112.073489,38.436779
High Burn,Burn 9,406315,4254848,-112.073447,38.436996
Moderate Burn,Burn 15,406782,4255165,-112.068139,38.439901
Moderate Burn,Burn 16,406753,4255168,-112.068471,38.439925
Moderate Burn,Burn 13,406807,4255194,-112.067856,38.440165
Moderate Burn,Burn 17,406767,4255204,-112.068316,38.440251
Moderate Burn,Burn 12,406810,4255226,-112.067826,38.440453
Moderate Burn,Burn 18,406737,4255249,-112.068665,38.440653
Moderate Burn,Burn 11,406789,4255249,-112.06807,38.440659
Moderate Burn,Burn 10,406780,4255267,-112.068175,38.44082
High Burn,Burn 6,406300,4254758,-112.073606,38.436183
Unburn,Unburn 8,407591,4254446,-112.058776,38.433506
Moderate Burn,Burn 14,406817,4255167,-112.067738,38.439923
